# Wordlist

# DATA
ID	LOCAL_ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT	STRUCTURE
#
1	NorthHighlandMixe-1_all-1	NorthHighlandMixe	ALL	all	nəhυm	nəhυm	n ə h ʊ m	4 7 3 7 4	AXBYN	NEHYM	3	3.N.C 3.E.V 3.H.C 3.Y.V 3.M.c	2.0 1.5 1.75 1.3 0.8	nəhʊm	0	3	n ə h ʊ m	c v c v c
2	SouthHighlandMixe-1_all-1	SouthHighlandMixe	ALL	all	tukəʔy	tukəʔy	t u k ə ʔ j	1 7 1 7 1 6	AXBYBC	TYKEHJ	9	9.T.C 9.Y.V 9.K.C 9.E.V 9.H.C 9.J.C	2.0 1.5 1.75 1.3 1.75 1.5	tukəʔj	0	9	t u k ə ʔ j	c v c v c c
3	LowlandMixe-1_all-1	LowlandMixe	ALL	all	tuʔuk-ʔokəy	tuʔuk-ʔokəy	t u ʔ u k + ʔ o k ə j	1 7 1 7 1 9 1 7 1 7 6	AXBYN_AXBYN	TYHYK_HUKEJ	2	2.T.C 2.Y.V 2.H.C 2.Y.V 2.K.c 2._._ 2.H.C 2.U.V 2.K.C 2.E.V 2.J.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.75 1.3 0.8	tuʔuk+ʔokəj	0	2	t u ʔ u k + ʔ o k ə j	c v c v c + c v c v c
4	SayulaPopoluca-1_all-1	SayulaPopoluca	ALL	all	nu pəhən	nu pəhən	n u + p ə h ə n	4 7 9 1 7 3 7 4	AX_AXBYN	NY_PEHEN	7	7.N.C 7.Y.V 7._._ 7.P.C 7.E.V 7.H.C 7.E.V 7.N.c	2.0 1.5 0.0 2.0 1.5 1.75 1.3 0.8	nu+pəhən	0	7	n u + p ə h ə n	c v + c v c v c
5	OlutaPopoluca-1_all-1	OlutaPopoluca	ALL	all	niʔtiʔk	niʔtiʔk	n i ʔ t i ʔ k	4 7 1 1 7 1 1	AXMBYLN	NIHTIHK	4	4.N.C 4.I.V 4.H.c 4.T.C 4.I.V 4.H.c 4.K.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	niʔtiʔk	0	4	n i ʔ t i ʔ k	c v c c v c c
6	TexistepecZoque-1_all-1	TexistepecZoque	ALL	all	bumbe	bumbe	b u m b e	1 7 4 1 7	AXMBZ	PYMPE	10	10.P.C 10.Y.V 10.M.c 10.P.C 10.E.V	2.0 1.5 1.1 1.75 0.8	bumbe	0	10	b u m b e	c v c c v
7	SoteapanZoque-1_all-1	SoteapanZoque	ALL	all	ikuməh	ikuməh	i k u m ə h	7 1 7 4 7 3	XBYBYN	IKYMEH	8	8.I.V 8.K.C 8.Y.V 8.M.C 8.E.V 8.H.c	1.5 1.75 1.3 1.75 1.3 0.8	ikuməh	0	8	i k u m ə h	v c v c v c
8	SantaMariaChimalapaZoque-1_all-1	SantaMariaChimalapaZoque	ALL	all	aŋteneʔ	aŋteneʔ	a ŋ t e n e ʔ	7 4 1 7 4 7 1	XMBYBYN	ANTENEH	6	6.A.V 6.N.c 6.T.C 6.E.V 6.N.C 6.E.V 6.H.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	aŋteneʔ	0	6	a ŋ t e n e ʔ	v c c v c v c
9	SanMiguelChimalapaZoque-1_all-1	SanMiguelChimalapaZoque	ALL	all	hemhiʔ	hemhiʔ	h e m h i ʔ	3 7 4 3 7 1	AXMBYN	HEMHIH	5	5.H.C 5.E.V 5.M.c 5.H.C 5.I.V 5.H.c	2.0 1.5 1.1 1.75 1.3 0.8	hemhiʔ	0	5	h e m h i ʔ	c v c c v c
10	ChiapasZoque-1_all-1	ChiapasZoque	ALL	all	mumu	mumu	m u m u	4 7 4 7	AXBZ	MYMY	1	1.M.C 1.Y.V 1.M.C 1.Y.V	2.0 1.5 1.75 0.8	mumu	0	1	m u m u	c v c v
#
11	NorthHighlandMixe-2_ashes-1	NorthHighlandMixe	ASH	ashes	haahm	haahm	h aː h m	3 7 3 4	AXBC	HAHM	3	3.H.C 3.A.V 3.H.C 3.M.C	2.0 1.5 1.75 1.5	haːhm	0	13	h aː h m	c v c c
12	SouthHighlandMixe-2_ashes-1	SouthHighlandMixe	ASH	ashes	haam	haam	h aː m	3 7 4	AXN	HAM	9	9.H.C 9.A.V 9.M.c	2.0 1.5 0.8	haːm	0	14	h aː m -	c v c
13	LowlandMixe-2_ashes-1	LowlandMixe	ASH	ashes	kuy-haam	kuy-haam	k u j + h aː m	1 7 6 9 3 7 4	AXN_AXN	KYJ_HAM	2	2.K.C 2.Y.V 2.J.c 2._._ 2.H.C 2.A.V 2.M.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+haːm	0	11	k u j + h aː - m	c v c + c v c
14	SayulaPopoluca-2_ashes-1	SayulaPopoluca	ASH	ashes	kuy-hahm	kuy-hahm	k u j + h a h m	1 7 6 9 3 7 3 4	AXN_AXBC	KYJ_HAHM	7	7.K.C 7.Y.V 7.J.c 7._._ 7.H.C 7.A.V 7.H.C 7.M.C	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.5	kuj+hahm	0	11	k u j + h a h m	c v c + c v c c
15	OlutaPopoluca-2_ashes-1	OlutaPopoluca	ASH	ashes	hamə	hamə	h a m ə	3 7 4 7	AXBZ	HAME	4	4.H.C 4.A.V 4.M.C 4.E.V	2.0 1.5 1.75 0.8	hamə	0	14	h a m ə	c v c v
16	TexistepecZoque-2_ashes-1	TexistepecZoque	ASH	ashes	kuyam	kuyam	k u j a m	1 7 6 7 4	AXBYN	KYJAM	10	10.K.C 10.Y.V 10.J.C 10.A.V 10.M.c	2.0 1.5 1.75 1.3 0.8	kujam	0	20	k u j a m	c v c v c
17	SoteapanZoque-2_ashes-1	SoteapanZoque	ASH	ashes	kuy-ham	kuy-ham	k u j + h a m	1 7 6 9 3 7 4	AXN_AXN	KYJ_HAM	8	8.K.C 8.Y.V 8.J.c 8._._ 8.H.C 8.A.V 8.M.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	kuj+ham	0	11	k u j + h a - m	c v c + c v c
