Epoch,TrainLoss,ValLoss,ValAccuracy,ValPrecision,ValRecall,ValF1
1,-0.29627,-1.30221,0.35860,0.30521,0.35860,0.31266
2,-1.07474,-1.68471,0.43020,0.50688,0.43020,0.41960
3,-1.35227,-2.25393,0.53980,0.54647,0.53980,0.53636
4,-1.58822,-2.33325,0.56250,0.56948,0.56250,0.55669
5,-1.69568,-2.40641,0.57120,0.58500,0.57120,0.56662
6,-1.77389,-2.53333,0.59460,0.60171,0.59460,0.58812
7,-1.86276,-2.64003,0.61500,0.61108,0.61500,0.60860
8,-1.90991,-2.67864,0.61900,0.62219,0.61900,0.61705
9,-1.93847,-2.65962,0.61880,0.62028,0.61880,0.61560
10,-1.99005,-2.68825,0.62310,0.62292,0.62310,0.62056
