Epoch,TrainLoss,ValLoss,ValAccuracy,ValPrecision,ValRecall,ValF1
1,-0.12838,-1.12317,0.32590,0.31461,0.32590,0.25942
2,-0.86430,-1.73601,0.44940,0.44666,0.44940,0.44022
3,-1.11790,-1.71371,0.44620,0.46500,0.44620,0.43182
4,-1.33377,-2.05823,0.50810,0.53710,0.50810,0.49131
5,-1.49060,-2.21724,0.53990,0.54958,0.53990,0.53958
6,-1.64318,-2.34111,0.56100,0.58180,0.56100,0.56272
7,-1.74496,-2.49656,0.59310,0.59147,0.59310,0.58763
8,-1.85321,-2.55854,0.60180,0.61013,0.60180,0.60009
9,-1.98642,-2.56027,0.60470,0.59896,0.60470,0.59839
10,-2.00848,-2.66147,0.62110,0.61552,0.62110,0.61640
