Epoch,TrainLoss,ValLoss,ValAccuracy,ValPrecision,ValRecall,ValF1
1,-0.16113,-1.27788,0.36310,0.34100,0.36310,0.32376
2,-0.96125,-1.61573,0.42910,0.45147,0.42910,0.42210
3,-1.20890,-1.85656,0.46620,0.47476,0.46620,0.45239
4,-1.36387,-2.08245,0.51400,0.52272,0.51400,0.50592
5,-1.51078,-2.26452,0.54940,0.56128,0.54940,0.54652
6,-1.64203,-2.42223,0.57890,0.57142,0.57890,0.56864
7,-1.74424,-2.49234,0.58850,0.57960,0.58850,0.58148
8,-1.83982,-2.60343,0.61050,0.61002,0.61050,0.60914
9,-1.97130,-2.66548,0.62120,0.61858,0.62120,0.61857
10,-2.04526,-2.69074,0.62330,0.61910,0.62330,0.62059
